unitid,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
190512,50,43,57,21,25,17,21,25,17,0,0,0
190549,54,48,59,10,12,9,10,12,9,0,0,0
190567,58,50,66,14,18,11,14,17,11,1,1,0
190576,39,40,39,26,31,21,0,0,0,26,31,21
190594,54,49,57,19,18,18,18,18,18,0,0,0
190600,57,51,61,20,17,21,20,17,21,0,0,0
190637,55,49,60,12,14,11,12,13,11,0,0,0
190646,83,83,83,8,8,8,8,7,8,0,0,0
190655,81,81,81,20,21,19,19,20,17,1,1,1
190664,69,63,73,15,18,12,14,17,12,1,1,1
190691,59,55,63,8,9,7,8,9,7,0,0,0
190707,41,0,54,86,,86,86,,86,0,,0
190716,82,83,82,13,12,13,12,12,13,1,1,0
190725,76,73,77,16,20,15,16,20,15,0,0,0
190752,88,88,,91,91,,91,91,,0,0,
190761,79,74,82,16,20,14,16,20,14,0,0,0
190956,83,76,84,3,0,3,3,0,3,0,0,0
190983,91,88,92,9,9,8,8,9,8,0,0,0
191126,58,49,60,53,54,53,52,51,52,1,3,1
191205,72,75,72,49,54,40,48,53,40,1,1,0
191241,56,52,59,10,11,9,10,11,9,0,0,0
191515,12,12,12,41,42,39,41,42,39,0,0,0
191533,69,99,45,12,8,20,12,8,20,0,0,0
191597,24,0,28,30,,30,30,,30,0,,0
191621,98,97,99,19,23,17,19,23,17,0,0,0
191630,57,52,61,15,16,13,15,16,13,0,0,0
191649,71,68,73,10,11,9,10,11,9,0,0,0
191676,93,92,93,24,23,24,24,23,24,0,0,0
191931,91,89,93,12,13,11,12,13,11,0,0,0
191940,96,87,98,25,25,25,25,25,25,0,0,0
191968,70,71,69,14,15,13,14,15,13,0,0,0
192004,86,83,87,77,83,75,77,83,75,0,0,0
192040,45,42,48,73,84,67,73,84,67,0,0,0
192110,9,11,8,52,53,52,52,53,52,0,0,0
192192,94,91,95,14,16,13,14,16,13,0,0,0
192271,99,97,99,24,27,24,24,27,23,0,0,1
192323,75,73,77,11,12,10,11,12,10,0,0,0
192448,90,89,90,10,11,10,10,11,10,0,0,0
192509,73,70,74,48,35,52,48,35,52,0,0,0
192624,95,95,,66,66,,66,66,,0,0,
192703,78,75,82,8,11,6,8,11,6,0,0,0
192712,40,44,38,25,26,23,25,26,23,0,0,0
192749,85,81,87,10,13,8,10,13,8,0,0,0
192785,61,50,62,29,50,28,19,25,18,11,25,10
192800,100,,100,0,,0,0,,0,0,,0
192819,65,71,61,19,19,20,19,19,20,0,0,0
192864,79,67,83,8,7,8,8,7,8,0,0,0
192961,100,100,100,50,100,0,50,100,0,0,0,0
193016,85,81,88,16,17,15,16,17,15,0,0,0
193052,90,90,,86,86,,86,86,,0,0,
193061,63,63,,100,100,,100,100,,0,0,
193070,61,61,,100,100,,100,100,,0,0,
193247,78,73,,77,100,,77,100,,0,0,
193292,76,77,75,14,12,15,14,12,15,0,0,0
193308,66,72,62,35,35,35,33,34,32,2,1,3
193353,82,78,85,10,11,10,10,11,9,0,0,0
193399,85,80,87,15,14,16,15,14,16,0,0,0
193584,79,75,81,16,14,17,16,14,17,0,0,0
193609,71,67,89,83,50,100,83,50,100,0,0,0
193654,63,60,63,26,26,26,25,25,26,1,1,1
193900,9,9,9,54,58,52,54,57,52,0,0,0
193973,85,81,88,16,16,17,16,16,17,0,0,0
194091,78,76,80,10,12,8,10,11,7,1,1,0
194116,60,57,61,30,15,32,19,0,21,11,15,11
194310,77,72,79,9,10,8,9,10,8,0,0,0
194392,91,91,91,16,19,12,16,19,12,0,0,0
194499,30,30,30,55,55,55,55,55,55,0,0,0
194569,33,33,33,100,100,100,100,100,100,0,0,0
194578,53,48,55,18,20,17,18,20,17,0,0,0
194657,100,100,,100,100,,100,100,,0,0,
