UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12 
195526,26,24,26,23,24,23,23,24,23,0,0,0
195544,77,72,79,17,18,17,17,18,17,0,0,0
195702,100,100,100,50,100,0,50,100,0,0,0,0
195720,73,73,73,21,23,20,21,23,20,0,0,0
195809,85,82,87,14,16,13,14,15,13,0,0,0
196006,82,85,77,26,30,19,26,30,19,0,0,0
196015,95,94,96,22,23,21,21,22,21,1,1,1
196024,83,83,83,23,26,19,23,26,19,0,0,0
196033,84,81,86,24,26,24,24,25,23,0,0,0
196042,73,75,71,34,35,31,32,34,30,1,1,1
196051,87,87,87,16,20,13,16,20,13,0,0,0
196060,68,64,70,15,16,15,15,16,14,0,0,0
196079,42,40,43,18,19,17,18,19,17,0,0,0
196088,68,66,70,20,22,18,20,22,18,0,0,0
196097,49,46,52,17,19,15,17,19,15,0,0,0
196103,70,66,72,21,25,18,20,24,17,1,1,1
196112,82,80,84,16,17,14,16,17,14,0,0,0
196121,68,66,69,19,19,19,19,19,19,0,0,0
196130,86,83,88,12,13,11,12,13,11,0,0,0
196149,60,54,64,19,22,17,19,22,17,0,0,0
196158,85,81,87,18,20,18,18,20,18,0,0,0
196167,75,69,78,13,12,13,13,12,13,0,0,0
196176,58,50,63,15,16,15,15,16,15,0,0,0
196185,73,66,77,16,14,16,16,14,16,0,0,0
196194,83,81,84,14,16,13,14,16,13,0,0,0
196200,83,80,84,17,17,17,17,17,17,0,0,0
196219,75,71,77,16,19,15,16,18,15,0,0,0
196237,92,89,94,17,18,17,17,18,17,0,0,0
196246,70,72,69,17,18,17,17,18,17,0,0,0
196291,80,80,80,26,28,19,26,28,19,0,0,0
196413,52,52,52,19,21,18,19,21,18,0,0,0
196431,78,78,.,69,69,.,65,65,.,4,4,.
196440,100,100,.,100,100,.,100,100,.,0,0,.
196583,64,64,.,67,67,.,67,67,.,0,0,.
196592,71,67,73,48,51,47,41,45,40,7,6,8
196653,68,72,68,25,30,25,19,22,18,7,9,7
196866,47,46,47,15,16,13,15,16,13,0,0,0
197027,27,28,34,60,63,49,60,63,49,0,0,0
197036,12,13,9,78,78,78,78,78,78,0,0,0
197045,81,67,97,16,19,14,16,19,14,0,0,0
197133,19,26,16,32,33,31,32,33,31,0,0,0
197142,78,80,77,26,33,21,26,33,21,0,0,0
197151,87,84,88,26,27,25,26,27,25,0,0,0
197197,69,54,85,22,22,23,22,22,23,0,0,0
197221,21,18,27,66,79,46,66,79,46,0,0,0
197230,88,85,89,11,18,8,11,18,8,0,0,0
197285,95,95,96,24,28,22,24,28,21,1,1,1
