opeid6,institution_name_first_seen,institution_name_last_seen,state_last_seen,first_seen_year,last_seen_year,first_missing_year,ever_opeflag_values,ever_opeflag_1to5,ever_opeflag_6,ever_broad_sectors,ever_levels,sample_type_last_seen,exit_group,last_seen_acts,last_seen_newids,coverage_note
008682,ACADEMY OF HAIR DESIGN INC,Academy of Hair Design Inc,KS,1996,2010,2011,1,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
008694,RASMUSSEN COLLEGE-ST CLOUD,Rasmussen University-Florida,FL,1996,2024,,1,yes,no,For-profit,2-year; 4-year,For-profit 4-year,,A,,
008711,COAST COMMUNITY COLLEGE DISTRICT OFFICE,Coast Community College District Office,CA,1996,2024,,2,yes,no,Public,2-year,Public 2-year,,A,,
008844,CALIFORNIA CHRISTIAN COLLEGE,California Christian College,CA,1996,2023,2024,1; 5,yes,no,Nonprofit,4-year,Nonprofit 4-year,apparent_main_campus_closure,D,,
008846,THE WRIGHT INSTITUTE,The Wright Institute,CA,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
008848,WARNER SOUTHERN COLLEGE,Warner University,FL,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
008849,PALM BEACH ATLANTIC COLLEGE,Palm Beach Atlantic University,FL,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
008855,EDGECOMBE COMMUNITY COLLEGE,Edgecombe Community College,NC,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008856,OREGON GRADUATE INSTITUTE OF SCIENCE AND TECHN,OREGON GRADUATE INSTITUTE OF SCIENCE AND TECH,OR,1996,2000,2001,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
008859,JOHN A GUPTON COLLEGE,John A Gupton College,TN,1996,2024,,1,yes,no,Nonprofit,2-year,Nonprofit 2-year,,A,,
008860,SCHOOL FOR INTERNATIONAL TRAINING,SIT Graduate Institute,VT,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
008862,EAST CENTRAL COLLEGE,East Central College,MO,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008863,WALTERS STATE COMMUNITY COLLEGE,Walters State Community College,TN,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008864,ARIZONA ACADEMY OF BEAUTY,Arizona Academy of Beauty,AZ,1996,2024,,1,yes,no,For-profit,2-year,For-profit 2-year,,A,,
008865,ALLURE CAREER COLLEGE OF BEAUTY,Empire Beauty School-Tucson,AZ,1996,2012,2013,1,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
008871,CONCORDE CAREER INSTITUTE,Concorde Career College-Aurora,CO,1996,2024,,1,yes,no,For-profit,2-year; 4-year,For-profit 4-year,,A,,
008872,NATIONAL ACADEMY OF HAIRDRESSING,Renasci Academy of Hair Inc,CT,1996,2010,2011,1; 5; 7,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
008873,AMERICAN ACADEMY OF COSMETOLOGY,Paul Mitchell the School-Danbury,CT,1996,2018,2019,1; 5,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,M,,
008874,BRIO ACADEMY OF COSMETOLOGY,Marinello Schools of Beauty-Meriden,CT,1996,2015,2016,1; 5,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,M,,
008876,NATIONAL ACADEMY OF HAIRDRESSING,NATIONAL ACADEMY OF HAIRDRESSING,CT,1996,1996,1997,,no,no,For-profit,2-year,For-profit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
008878,INTERNATIONAL FINE ARTS COLLEGE,AI Miami International University of Art and Design,FL,1996,2023,2024,1; 5,yes,no,For-profit,2-year; 4-year,For-profit 4-year,apparent_main_campus_closure,D,,
008880,MORRISON INSTITUTE OF TECHNOLOGY,Morrison Institute of Technology,IL,1996,2024,,1,yes,no,Nonprofit,2-year,Nonprofit 2-year,,A,,
008885,FRANKLIN SCHOOL OF COSMETOLOGY,FRANKLIN SCHOOL OF COSMETOLOGY,NJ,1996,1996,1997,,no,no,For-profit,2-year,For-profit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
008886,W HOWARD NICOL SCHOOL OF PRACTICAL NURSING,Portage Lakes Career Center,OH,1996,2024,,1; 5,yes,no,Public,2-year,Public 2-year,,A,,
008887,CONCORDE CAREER INSTITUTE,Concorde Career College-Portland,OR,1996,2024,,1,yes,no,For-profit,2-year,For-profit 2-year,,A,,
008889,ALLENTOWN BUSINESS SCHOOL,Lehigh Valley College,PA,1996,2009,2010,1,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,M,,
008891,GORDON PHILLIPS SCHOOL OF BEAUTY CULTURE,GORDON PHILLIPS SCHOOL OF BEAUTY CULTURE,PA,1996,2004,2005,1; 5,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,D,,
008895,EDUCATIONAL CULTURAL COMPLEX,San Diego Community College District-District Office,CA,1996,2024,,1; 2,yes,no,Public,2-year; 4-year,Public 4-year,,A,,
008896,PIKES PEAK COMMUNITY COLLEGE,Pikes Peak State College,CO,1996,2024,,1,yes,no,Public,2-year; 4-year,Public 4-year,,A,,
008902,COLUMBIA COLLEGE,Columbia Central University-Caguas,PR,1996,2024,,1,yes,no,For-profit,4-year,For-profit 4-year,,A,,
008903,COLLEGE OF THE CANYONS,College of the Canyons,CA,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008906,MACOMB COMMUNITY COLLEGE,Macomb Community College,MI,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008916,NEW ENGLAND SCHOOL OF LAW,New England Law-Boston,MA,1996,2024,,1,yes,no,Nonprofit,4-year,Nonprofit 4-year,,A,,
008918,SADDLEBACK COLLEGE,Saddleback College,CA,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008924,CLASSIC BEAUTY COLLEGE,CLASSIC BEAUTY COLLEGE,AZ,1996,1996,1997,,no,no,For-profit,2-year,For-profit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
008938,GRAHAM HOSPITAL SCHOOL OF NURSING,Graham Hospital School of Nursing,IL,1996,2024,,1,yes,no,Nonprofit,2-year,Nonprofit 2-year,,A,,
008939,CANNELLA SCHOOL OF HAIR DESIGN,Cannella School of Hair Design-Blue Island,IL,1996,2021,2022,1; 5,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,M,,
008944,MAINE STATE ACADEMY OF HAIR DESIGN,MAINE STATE ACADEMY OF HAIR DESIGN,ME,1996,1997,1998,,no,no,For-profit,2-year,For-profit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
008945,PETOSKEY BEAUTY ACADEMY LTD,PETOSKEY BEAUTY ACADEMY LTD,MI,1996,1998,1999,5,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,M,,
008946,PORT HURON COSMETOLOGY COLLEGE,Port Huron Cosmetology College,MI,1996,2024,,1,yes,no,For-profit,2-year,For-profit 2-year,,A,,
008947,DAHLS COLLEGE OF BEAUTY INC,Dahls College of Beauty,MT,1996,2012,2013,1,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
008954,PITTSBURGH BEAUTY ACADEMY,PITTSBURGH BEAUTY ACADEMY,PA,1996,2003,2004,1; 5,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
