UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM       
151962,63750,.,.,.,63750,.,.,25,14,14,0,0,2,0,2,2,3,0,0,0,4,0,3,1,0,0
152044,.,.,.,.,.,.,.,6,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152080,144593,206313,133551,127906,.,.,87564,6163,1621,1349,272,0,240,113,127,614,956,574,389,43,1726,1230,3,458,10,25
152099,53571,65462,54206,52075,.,43461,.,186,77,76,0,1,32,2,30,20,8,3,25,0,21,0,1,8,12,0
152150,.,.,.,.,.,.,.,7,4,4,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0
152275,.,.,.,.,.,.,.,14,6,6,0,0,0,0,0,2,1,0,0,0,5,0,0,4,1,0
152309,.,.,.,.,.,.,.,12,7,7,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0
152318,101465,118359,96921,81483,43298,.,.,520,189,189,0,0,6,2,4,93,5,44,41,4,138,69,1,48,17,3
152336,62403,73943,65107,61266,58678,48199,57000,351,172,172,0,0,38,4,34,38,16,1,33,0,53,12,0,28,7,6
152381,49509,55892,51052,49971,33508,46677,.,228,104,104,0,0,17,1,16,28,20,4,17,0,38,22,0,11,5,0
152390,68207,87793,72828,61103,.,52193,58441,408,157,157,0,0,18,7,11,44,29,14,34,5,107,56,0,41,10,0
152451,81470,93905,81158,69347,.,.,.,38,12,12,0,0,3,3,0,14,0,0,0,0,9,0,0,9,0,0
